Scenario,Avg production (k/wk),Peak loss (%),Mean loss (%),Weeks below 90%,Recovery week,Cumulative loss (k veh)
uk_supply_chain_friction,8.7,8.0,2.6,0,0,38.0
uk_supply_chain_friction_minerals_policy,8.7,8.0,2.6,0,0,38.0
uk_supply_chain_friction_tier1_policy,9.4,5.5,0.7,0,0,7.0
uk_supply_chain_friction_full_policy,9.8,4.3,0.2,0,0,2.0
china_graphite_minerals_policy,8.8,0.1,0.0,0,0,0.0
ukraine_harness_minerals_policy,8.8,0.1,0.0,0,0,0.0
drc_cobalt_minerals_policy,8.8,0.1,0.0,0,0,0.0
china_ree_restriction_minerals_policy,8.8,0.1,0.0,0,0,0.0
sic_bottleneck_minerals_policy,8.8,0.1,0.0,0,0,0.0
compound_shock_minerals_policy,8.8,0.1,0.0,0,0,0.0
china_catl_disruption_minerals_policy,8.8,0.1,0.0,0,0,0.0
ukraine_harness,8.8,0.0,0.0,0,0,0.0
us_china_tariff,8.8,0.0,0.0,0,0,0.0
china_graphite,8.8,0.0,0.0,0,0,0.0
china_catl_disruption,8.8,0.0,0.0,0,0,0.0
china_ree_restriction,8.8,0.0,0.0,0,0,0.0
drc_cobalt,8.8,0.0,0.0,0,0,0.0
drc_cobalt_tier1_policy,9.5,0.0,0.0,0,0,0.0
ukraine_harness_full_policy,9.9,0.0,0.0,0,0,0.0
ukraine_harness_tier1_policy,9.5,0.0,0.0,0,0,0.0
sic_bottleneck,8.8,0.0,0.0,0,0,0.0
compound_shock,8.8,0.0,0.0,0,0,0.0
sic_bottleneck_full_policy,9.9,0.0,0.0,0,0,0.0
sic_bottleneck_tier1_policy,9.5,0.0,0.0,0,0,0.0
drc_cobalt_full_policy,9.9,0.0,0.0,0,0,0.0
china_graphite_tier1_policy,9.5,0.0,0.0,0,0,0.0
china_ree_restriction_full_policy,9.9,0.0,0.0,0,0,0.0
china_ree_restriction_tier1_policy,9.5,0.0,0.0,0,0,0.0
china_graphite_full_policy,9.9,0.0,0.0,0,0,0.0
china_catl_disruption_tier1_policy,9.5,0.0,0.0,0,0,0.0
china_catl_disruption_full_policy,9.9,0.0,0.0,0,0,0.0
compound_shock_tier1_policy,9.5,0.0,0.0,0,0,0.0
compound_shock_full_policy,9.9,0.0,0.0,0,0,0.0
